highway,bicycle,width,shoulder,geometry,speed_lim,nlanes,pave_ref,nacc,PCI
residential,,,,"LINESTRING (-118.3123169 33.940033, -118.3123141 33.9386889)",25,2,35449.0,0,90.45
residential,,,,"LINESTRING (-118.3123141 33.9386889, -118.3123099 33.9382278)",25,2,53504.0,0,72.58
primary,,,,"LINESTRING (-118.3177407 33.9454652, -118.3182445 33.9454632)",35,7,69646.0,0,88.92
secondary,,,,"LINESTRING (-118.3177407 33.9454652, -118.3177391 33.9453197)",30,5,2063.0,0,86.31
secondary,,,,"LINESTRING (-118.3177303 33.9457872, -118.3177363 33.9456011)",30,3,69646.0,0,88.92
secondary,,,,"LINESTRING (-118.3177363 33.9456011, -118.3177407 33.9454652)",30,3,69646.0,0,88.92
primary,,,,"LINESTRING (-118.3172057 33.9454639, -118.3176275 33.9454649)",35,7,2063.0,0,86.31
primary,,,,"LINESTRING (-118.3176275 33.9454649, -118.3177407 33.9454652)",35,7,69646.0,0,88.92
service,,,,"LINESTRING (-118.3182476 33.9460765, -118.3177212 33.9460679)",30,2,69646.0,0,88.92
secondary,,,,"LINESTRING (-118.3177192 33.9461283, -118.3177212 33.9460679)",30,2,28645.0,0,56.46
secondary,,,,"LINESTRING (-118.3177212 33.9460679, -118.3177303 33.9457872)",30,2,69646.0,0,88.92
secondary,,,,"LINESTRING (-118.317719 33.9463121, -118.3177192 33.9461283)",30,3,56344.0,1,88.92
secondary,,,,"LINESTRING (-118.3177167 33.9488292, -118.317719 33.9463121)",30,2,56344.0,0,88.92
service,,,,"LINESTRING (-118.3167682 33.9454628, -118.3167682 33.945282)",30,2,2063.0,0,86.31
service,,,,"LINESTRING (-118.3138407 33.9454608, -118.3138625 33.9432333)",30,2,61024.0,0,86.31
primary,,,,"LINESTRING (-118.3167682 33.9454628, -118.3172057 33.9454639)",35,6,2063.0,0,86.31
primary,,,,"LINESTRING (-118.3164608 33.945462, -118.3167682 33.9454628)",35,7,2063.0,0,86.31
primary,,,,"LINESTRING (-118.3162967 33.9454616, -118.3164608 33.945462)",35,6,2063.0,0,86.31
primary,,,,"LINESTRING (-118.3159919 33.9454608, -118.3162967 33.9454616)",35,7,2063.0,0,86.31
primary,,,,"LINESTRING (-118.3143128 33.9454608, -118.3159919 33.9454608)",35,6,27390.0,1,86.31
tertiary,,,,"LINESTRING (-118.3143852 33.949092, -118.3143933 33.9487939)",30,3,58941.0,0,85.18
tertiary,,,,"LINESTRING (-118.3143933 33.9487939, -118.3144362 33.948696)",30,3,45204.0,0,84.33
tertiary,,,,"LINESTRING (-118.3144362 33.948696, -118.3145059 33.9486025)",30,3,2058.0,0,95.06
tertiary,,,,"LINESTRING (-118.3145059 33.9486025, -118.315037 33.9480774)",30,3,47945.0,0,84.87
tertiary,,,,"LINESTRING (-118.315037 33.9480774, -118.3156324 33.9475434)",30,3,47945.0,0,84.87
tertiary,,,,"LINESTRING (-118.3156324 33.9475434, -118.3161957 33.9470094)",30,3,4758.0,0,84.29
tertiary,,,,"LINESTRING (-118.3161957 33.9470094, -118.3167536 33.9464665)",30,3,2059.0,0,71.0
tertiary,,,,"LINESTRING (-118.3167536 33.9464665, -118.3170272 33.9462529)",30,3,28645.0,0,56.46
tertiary,,,,"LINESTRING (-118.3170272 33.9462529, -118.317175 33.9462055)",30,3,28645.0,0,56.46
tertiary,,,,"LINESTRING (-118.317175 33.9462055, -118.3173383 33.9461461)",30,3,28645.0,0,56.46
tertiary,,,,"LINESTRING (-118.3173383 33.9461461, -118.3175316 33.9461327)",30,3,28645.0,0,56.46
tertiary,,,,"LINESTRING (-118.3175316 33.9461327, -118.3177192 33.9461283)",30,3,56344.0,0,88.92
residential,,,,"LINESTRING (-118.3161957 33.9470094, -118.3158309 33.946729)",25,2,45205.0,0,95.63
residential,,,,"LINESTRING (-118.3158309 33.946729, -118.3156056 33.9465688)",25,2,4758.0,0,84.29
residential,,,,"LINESTRING (-118.3156056 33.9465688, -118.3154125 33.946462)",25,2,4758.0,0,84.29
residential,,,,"LINESTRING (-118.3154125 33.946462, -118.3152301 33.9463864)",25,2,4758.0,0,84.29
residential,,,,"LINESTRING (-118.3152301 33.9463864, -118.3150423 33.9463374)",25,2,4758.0,0,84.29
residential,,,,"LINESTRING (-118.3150423 33.9463374, -118.3148278 33.9463018)",25,2,4758.0,0,84.29
residential,,,,"LINESTRING (-118.3148278 33.9463018, -118.3145971 33.946284)",25,2,4758.0,0,84.29
residential,,,,"LINESTRING (-118.3145971 33.946284, -118.3139802 33.9462751)",25,2,4758.0,0,84.29
service,,,,"LINESTRING (-118.3139856 33.9458924, -118.3160884 33.9459147)",30,2,36832.0,0,62.86
service,,,,"LINESTRING (-118.3160884 33.9459147, -118.3166249 33.9459102)",30,2,36832.0,0,62.86
service,,,,"LINESTRING (-118.3168448 33.945977, -118.3171667 33.9461906)",30,2,28645.0,0,56.46
service,,,,"LINESTRING (-118.3171667 33.9461906, -118.317175 33.9462055)",30,2,28645.0,0,56.46
service,,,,"LINESTRING (-118.317175 33.9462055, -118.3171988 33.9462484)",30,2,28645.0,0,56.46
service,,,,"LINESTRING (-118.3171988 33.9462484, -118.3172149 33.946333)",30,2,28645.0,0,56.46
service,,,,"LINESTRING (-118.3172149 33.946333, -118.3172149 33.9491031)",30,2,8786.0,0,85.18
residential,,,,"LINESTRING (-118.3156324 33.9475434, -118.3152677 33.9472764)",25,2,14135.0,0,84.32
residential,,,,"LINESTRING (-118.3152677 33.9472764, -118.3150745 33.9471607)",25,2,188.0,0,54.73
residential,,,,"LINESTRING (-118.3150745 33.9471607, -118.3149029 33.9470895)",25,2,188.0,0,54.73
residential,,,,"LINESTRING (-118.3149029 33.9470895, -118.3147151 33.9470272)",25,2,188.0,0,54.73
residential,,,,"LINESTRING (-118.3147151 33.9470272, -118.3145327 33.9470005)",25,2,188.0,0,54.73
residential,,,,"LINESTRING (-118.3145327 33.9470005, -118.3143396 33.9469871)",25,2,188.0,0,54.73
residential,,,,"LINESTRING (-118.3143396 33.9469871, -118.3139856 33.9469871)",25,2,188.0,0,54.73
primary,,,,"LINESTRING (-118.3139703 33.9454608, -118.3143128 33.9454608)",35,7,61024.0,0,86.31
primary,,,,"LINESTRING (-118.3134062 33.9454608, -118.3138407 33.9454608)",35,6,61024.0,0,86.31
primary,,,,"LINESTRING (-118.3138407 33.9454608, -118.3139703 33.9454608)",35,6,61024.0,0,86.31
primary,,,,"LINESTRING (-118.3129367 33.9454608, -118.3132944 33.9454608)",35,7,12660.0,0,30.04
